Datetime,Center_Lon,Center_Lat,Max_Wind,Min_Press
2023-10-16 06:00:00,-88.51295979817708,11.408070882161459,8.625514,1010.57245
2023-10-16 07:00:00,-89.23929850260417,11.81841786702474,10.97423,1010.5661
2023-10-16 08:00:00,-89.51865641276042,11.927617390950521,15.40577,1010.74335
2023-10-16 09:00:00,-89.15547688802083,12.801030476888021,12.65728,1011.4008
2023-10-16 10:00:00,-89.68626912434895,12.228240966796875,15.111794,1011.07916
2023-10-16 11:00:00,-89.6583251953125,12.091753641764322,14.671982,1011.1977
2023-10-16 12:00:00,-89.07167561848958,12.310256958007812,11.75078,1011.3674
2023-10-16 13:00:00,-89.46277872721355,11.818328857421875,13.876642,1011.5939
2023-10-16 14:00:00,-90.16117350260417,11.873085021972656,11.925576,1011.9333
2023-10-16 15:00:00,-90.217041015625,11.572135925292969,10.373538,1011.836
2023-10-16 16:00:00,-89.60245768229167,12.228360493977865,8.12966,1011.65906
2023-10-16 17:00:00,-89.9376932779948,11.709007263183594,6.7674932,1011.2944
2023-10-16 18:00:00,-90.46846516927083,12.037162780761719,5.9133034,1011.4065
2023-10-16 19:00:00,-90.9713134765625,12.664705912272135,5.862673,1011.05853
2023-10-16 20:00:00,-91.16685994466145,12.44659678141276,5.833992,1010.5875
2023-10-16 21:00:00,-92.03287760416667,12.091829935709635,6.7701025,1010.70996
2023-10-16 22:00:00,-91.78145345052083,12.610084533691406,4.9998345,1010.4765
2023-10-16 23:00:00,-92.11667887369792,12.391990661621094,8.312998,1010.6541
2023-10-17 00:00:00,-92.31222534179688,12.501103719075521,7.9793158,1010.3276
2023-10-17 01:00:00,-92.70332845052083,12.36462148030599,6.067964,1010.4388
2023-10-17 02:00:00,-92.81507364908855,11.927800496419271,4.4409847,1010.5939
2023-10-17 03:00:00,-93.03855387369792,12.228327433268229,10.032243,1010.47437
2023-10-17 04:00:00,-93.48553466796875,11.791081746419271,7.735986,1010.23944
2023-10-17 05:00:00,-93.65313720703125,12.391952514648438,16.592867,1011.1895
2023-10-17 06:00:00,-94.0163065592448,11.791155497233072,5.793371,1011.8874
2023-10-17 07:00:00,-93.764892578125,12.391952514648438,16.786812,1011.78625
2023-10-17 08:00:00,-92.98268636067708,12.22827402750651,15.548405,1011.2421
2023-10-17 09:00:00,-93.15029907226562,11.46283213297526,19.554216,1010.73566
2023-10-17 10:00:00,-93.51346842447917,11.544954935709635,14.146461,1011.0715
2023-10-17 11:00:00,-92.92681884765625,11.599454243977865,13.213964,1010.6246
2023-10-17 12:00:00,-93.1223653157552,11.106460571289062,12.5478,1010.1361
2023-10-17 13:00:00,-92.70332845052083,11.763821919759115,12.236697,1010.4625
2023-10-17 14:00:00,-93.40172322591145,11.380686442057291,11.790633,1011.07996
2023-10-17 15:00:00,-93.59726969401042,11.544929504394531,12.510625,1011.26135
2023-10-17 16:00:00,-93.764892578125,11.051582336425781,10.982651,1011.14124
2023-10-17 17:00:00,-94.21185302734375,11.27093760172526,14.672521,1010.95447
2023-10-17 18:00:00,-94.32359822591145,11.818272908528646,17.035559,1011.3528
2023-10-17 19:00:00,-94.43534342447917,11.791084289550781,16.432945,1011.56287
2023-10-17 20:00:00,-94.35154215494792,11.927508036295572,15.598207,1010.82733
2023-10-17 21:00:00,-94.91025797526042,11.462425231933594,15.292701,1010.34357
2023-10-17 22:00:00,-95.41310628255208,10.969390869140625,12.930094,1010.0863
2023-10-17 23:00:00,-95.77626546223958,11.380477905273438,13.900873,1010.2684
2023-10-18 00:00:00,-96.1673583984375,11.627006530761719,13.253668,1010.1944
2023-10-18 01:00:00,-96.39084879557292,11.517476399739584,15.689645,1010.152
2023-10-18 02:00:00,-96.2791035970052,11.462783813476562,13.866853,1010.8262
2023-10-18 03:00:00,-96.19529215494792,11.572257995605469,13.509007,1010.76953
2023-10-18 04:00:00,-95.8880106608073,11.791155497233072,13.051396,1010.7013
2023-10-18 05:00:00,-96.39084879557292,11.982429504394531,15.463158,1011.5396
2023-10-18 06:00:00,-96.72607421875,12.037020365397135,13.441772,1011.81104
2023-10-18 07:00:00,-96.47465006510417,12.63732655843099,14.541298,1012.11597
2023-10-18 08:00:00,-96.64227294921875,12.337443033854166,13.909957,1012.12054
2023-10-18 09:00:00,-96.55846150716145,12.228360493977865,12.062309,1011.7169
2023-10-18 10:00:00,-96.02768961588542,12.337010701497396,10.767264,1011.51404
2023-10-18 11:00:00,-96.08355712890625,13.045740763346354,13.093173,1011.10455
2023-10-18 12:00:00,-96.41878255208333,12.691996256510416,11.608959,1011.2323
2023-10-18 13:00:00,-96.75400797526042,12.828114827473959,11.924999,1011.1467
2023-10-18 14:00:00,-96.78195190429688,13.507601420084635,12.598391,1011.58734
2023-10-18 15:00:00,-96.8378194173177,13.345130920410156,12.54935,1011.82086
2023-10-18 16:00:00,-96.69814046223958,13.77959950764974,12.899002,1011.70197
2023-10-18 17:00:00,-96.39084879557292,13.045906066894531,7.688172,1012.43365
2023-10-18 18:00:00,-95.999755859375,13.915095011393229,11.884421,1012.2276
2023-10-18 19:00:00,-95.77626546223958,14.023674011230469,11.921547,1012.1246
2023-10-18 20:00:00,-95.7203877766927,13.481104532877604,9.72275,1011.7177
2023-10-18 21:00:00,-95.49690755208333,14.05096689860026,9.964067,1011.1141
2023-10-18 22:00:00,-95.49690755208333,13.915438334147135,7.376093,1010.69604
2023-10-18 23:00:00,-95.99974568684895,14.402982076009115,9.4709425,1010.1667
2023-10-19 00:00:00,-96.1673583984375,13.88812001546224,7.2381954,1010.39655
