Datetime,Center_Lon,Center_Lat,Max_Wind,Min_Press
2023-10-16 06:00:00,-86.55746,11.54496,12.509518,1009.6555
2023-10-16 07:00:00,-86.725075,11.709137,13.59439,1010.04474
2023-10-16 08:00:00,-88.73645,12.037193,13.617198,1009.117
2023-10-16 09:00:00,-89.07168,13.100563,15.190174,1009.8471
2023-10-16 10:00:00,-89.3231,12.282982,18.608953,1008.648
2023-10-16 11:00:00,-90.66402,12.446709,11.999869,1008.9766
2023-10-16 12:00:00,-90.4964,12.282982,12.4322605,1007.9006
2023-10-16 13:00:00,-89.406906,11.2163315,14.453532,1009.3594
2023-10-16 14:00:00,-88.90406,11.791191,7.9949036,1009.8919
2023-10-16 15:00:00,-88.98787,11.873215,6.3414426,1010.39575
2023-10-16 16:00:00,-90.4126,12.20108,10.222511,1010.21234
2023-10-16 17:00:00,-90.24498,12.037193,8.295317,1009.7974
2023-10-16 18:00:00,-89.658325,10.47554,8.899243,1009.801
2023-10-16 19:00:00,-89.23929,11.051872,8.876118,1009.77545
2023-10-16 20:00:00,-88.98787,10.805008,7.1879563,1009.5315
2023-10-16 21:00:00,-88.73645,10.557938,7.0372214,1008.90796
2023-10-16 22:00:00,-89.23929,9.980682,8.09674,1008.21924
2023-10-16 23:00:00,-89.23929,11.051872,7.1595283,1007.9615
2023-10-17 00:00:00,-89.23929,9.980682,8.53732,1007.95416
2023-10-17 01:00:00,-89.15549,10.145721,9.679659,1008.5939
2023-10-17 02:00:00,-89.490715,10.22821,9.069202,1008.40686
2023-10-17 03:00:00,-90.16117,9.89814,7.776258,1008.4336
2023-10-17 04:00:00,-89.07168,10.722679,9.922729,1008.6748
2023-10-17 05:00:00,-90.07736,10.722679,10.263407,1009.04645
2023-10-17 06:00:00,-89.3231,11.051872,14.654789,1009.30664
2023-10-17 07:00:00,-90.24498,10.9696045,17.968678,1008.5238
2023-10-17 08:00:00,-90.07736,10.9696045,17.2383,1007.8548
2023-10-17 09:00:00,-90.07736,10.887314,20.189938,1007.1628
2023-10-17 10:00:00,-90.747826,10.310677,21.020098,1007.649
2023-10-17 11:00:00,-90.58021,10.39312,19.493156,1006.1566
2023-10-17 12:00:00,-90.831635,9.732979,18.267193,1006.5386
2023-10-17 13:00:00,-91.41828,10.063225,17.927015,1006.81433
2023-10-17 14:00:00,-90.915436,9.567741,17.451939,1006.98047
